,Car7,Col1a1,Rab27b,Mesp2,Bambi,Nfe2,Cldn5,Smarcd3,Bin2,Abcc4,Slc38a5,Wnt5a,Zfp57,Esam,Tet3,Postn,Cdh2,Sox2,Col4a1,Morc4,Jarid2,Aldh1a2,Tbx1,Cyp26a1,Igfbp3,Lefty1,Socs2,Hoxb4,Pitx1,Nr1d1,Coro1a,Irx5,Ash2l,Dnmt3l,Bmi1
2391,2.3281806,0.0,2.3281806,0.0,4.186845,2.3281806,4.0352235,0.0,0.0,2.3281806,2.9713638,2.9713638,4.4347773,4.4347773,4.186845,2.3281806,3.856432,2.9713638,5.891951,0.0,2.3281806,2.9713638,2.3281806,4.4347773,4.872366,2.3281806,2.3281806,0.0,0.0,0.0,2.9713638,2.3281806,3.6385603,0.0,0.0
2392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5389514,0.0,0.0,0.0,0.0,0.0,0.0,5.630415,0.0,4.5389514,0.0,0.0,0.0,0.0,4.5389514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5389514
2393,0.0,0.0,0.0,0.0,5.1614113,4.0742006,0.0,0.0,4.0742006,0.0,0.0,5.447659,0.0,4.0742006,4.7588086,4.7588086,0.0,0.0,4.0742006,4.0742006,0.0,0.0,0.0,0.0,4.0742006,0.0,0.0,0.0,0.0,0.0,0.0,4.0742006,4.7588086,0.0,0.0
2394,0.0,0.0,4.340652,0.0,0.0,0.0,0.0,4.340652,0.0,0.0,0.0,5.027264,0.0,0.0,4.340652,4.340652,4.340652,4.340652,5.430541,0.0,5.027264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.340652
2395,3.2580965,3.2580965,3.9318256,0.0,4.3307333,0.0,3.2580965,0.0,3.2580965,3.2580965,3.2580965,0.0,3.9318256,4.6151204,3.2580965,3.2580965,0.0,0.0,5.620401,0.0,3.9318256,0.0,0.0,4.3307333,5.170484,0.0,0.0,3.2580965,3.2580965,0.0,0.0,0.0,3.2580965,3.2580965,3.9318256
2396,3.4262772,0.0,0.0,0.0,4.103037,0.0,0.0,3.4262772,0.0,0.0,0.0,4.7878885,4.103037,0.0,4.7878885,3.4262772,0.0,0.0,4.103037,0.0,4.103037,0.0,0.0,0.0,0.0,4.103037,4.103037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2397,0.0,0.0,0.0,0.0,4.172813,0.0,4.8582263,0.0,4.172813,0.0,0.0,0.0,5.2611,3.4949572,4.172813,0.0,4.172813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4949572,3.4949572,0.0,3.4949572,4.8582263,4.172813,0.0,0.0,0.0,3.4949572,3.4949572
2398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9477673,4.2616944,0.0,0.0,4.2616944,4.2616944,0.0,5.6373587,0.0,0.0,0.0,0.0,0.0,0.0,4.2616944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2616944,0.0
2399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8239584,5.51308,0.0,5.51308,0.0,0.0,0.0,4.8239584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8239584,0.0,0.0,0.0,0.0,0.0,0.0,4.8239584
2400,0.0,0.0,0.0,0.0,5.5008597,0.0,0.0,0.0,0.0,0.0,0.0,4.8117876,0.0,0.0,4.8117876,0.0,0.0,0.0,5.5008597,0.0,0.0,0.0,0.0,0.0,4.8117876,4.8117876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401,0.0,0.0,0.0,0.0,5.0123253,0.0,0.0,0.0,0.0,0.0,4.325812,4.325812,4.325812,0.0,0.0,5.0123253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.325812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,0.0,0.0,0.0,4.175964,4.175964,0.0,3.4980605,0.0,0.0,0.0,3.4980605,0.0,4.175964,0.0,3.4980605,0.0,3.4980605,0.0,6.3023844,0.0,0.0,0.0,0.0,4.175964,4.576296,0.0,0.0,4.175964,0.0,0.0,3.4980605,0.0,4.175964,0.0,0.0
2403,0.0,0.0,0.0,0.0,4.1972346,0.0,0.0,0.0,3.1282532,0.0,3.1282532,5.035903,4.1972346,0.0,4.7020273,3.1282532,0.0,3.7992601,3.1282532,0.0,3.1282532,3.7992601,0.0,0.0,4.1972346,0.0,0.0,3.1282532,0.0,0.0,0.0,3.1282532,0.0,0.0,0.0
2404,0.0,0.0,0.0,0.0,4.2015457,4.2015457,4.8871784,0.0,4.2015457,0.0,0.0,0.0,0.0,4.2015457,0.0,4.8871784,0.0,0.0,6.134539,0.0,0.0,0.0,0.0,0.0,5.576547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
